kod_okresu,okres,index
CZ0100,Praha,0.256
CZ0202,Beroun,0.333
CZ0203,Kladno,0.333
CZ0205,Kutná Hora,0.667
CZ0207,Mladá Boleslav,0.667
CZ0208,Nymburk,0.667
CZ0209,Praha-východ,1.0
CZ020B,Příbram,0.333
CZ0311,České Budějovice,0.667
CZ0315,Prachatice,0.667
CZ0316,Strakonice,1.0
CZ0317,Tábor,0.333
CZ0323,Plzeň-město,0.667
CZ0326,Rokycany,0.333
CZ0327,Tachov,0.333
CZ0413,Sokolov,0.667
CZ0421,Děčín,0.333
CZ0422,Chomutov,0.667
CZ0423,Litoměřice,0.667
CZ0425,Most,0.333
CZ0426,Teplice,0.333
CZ0427,Ústí nad Labem,0.333
CZ0511,Česká Lípa,0.667
CZ0512,Jablonec nad Nisou,0.667
CZ0513,Liberec,0.833
CZ0521,Hradec Králové,0.833
CZ0524,Rychnov nad Kněžnou,0.667
CZ0525,Trutnov,0.667
CZ0531,Chrudim,0.667
CZ0532,Pardubice,0.833
CZ0533,Svitavy,0.333
CZ0632,Jihlava,1.0
CZ0633,Pelhřimov,0.667
CZ0634,Třebíč,0.667
CZ0642,Brno-město,0.444
CZ0644,Břeclav,0.667
CZ0647,Znojmo,0.333
CZ0711,Jeseník,0.667
CZ0712,Olomouc,0.333
CZ0713,Prostějov,0.667
CZ0714,Přerov,0.667
CZ0721,Kroměříž,0.333
CZ0722,Uherské Hradiště,0.333
CZ0723,Vsetín,0.667
CZ0724,Zlín,0.833
CZ0802,Frýdek-Místek,0.667
CZ0803,Karviná,0.333
CZ0804,Nový Jičín,0.667
CZ0805,Opava,1.0
CZ0806,Ostrava-město,0.0
