idRegistration,startTime,idValueType,value,componentCode,localityCode,nazev,district,lat,lon
10221, 2026-03-06T13:00:00Z,8,6.9,SO2,UMOM,Most,Most,50.5103645324707,13.645272254943848
40237, 2026-03-06T13:00:00Z,8,36.4,PM10,ASUC,Praha 6-Suchdol,Praha 6,50.12652969360352,14.384638786315918
40238, 2026-03-06T13:00:00Z,8,74.4,O3,ASUC,Praha 6-Suchdol,Praha 6,50.12652969360352,14.384638786315918
40244, 2026-03-06T13:00:00Z,8,102.3,O3,HHKO,Hradec Králové-observatoř,Hradec Králové,50.17763137817383,15.838390350341797
40257, 2026-03-06T13:00:00Z,8,3.2,SO2,ARIE,Praha 2-Riegrovy sady,Praha 2,50.08148193359375,14.442691802978516
40259, 2026-03-06T13:00:00Z,8,23.0,NO2,ARIE,Praha 2-Riegrovy sady,Praha 2,50.08148193359375,14.442691802978516
40260, 2026-03-06T13:00:00Z,8,28.5,NOx,ARIE,Praha 2-Riegrovy sady,Praha 2,50.08148193359375,14.442691802978516
40261, 2026-03-06T13:00:00Z,8,32.6,PM10,ARIE,Praha 2-Riegrovy sady,Praha 2,50.08148193359375,14.442691802978516
40279, 2026-03-06T13:00:00Z,8,6.7,SO2,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40281, 2026-03-06T13:00:00Z,8,16.6,NO2,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40282, 2026-03-06T13:00:00Z,8,367.0,CO,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40283, 2026-03-06T13:00:00Z,8,78.6,O3,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40284, 2026-03-06T13:00:00Z,8,19.9,NOx,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40285, 2026-03-06T13:00:00Z,8,27.7,PM10,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40288, 2026-03-06T13:00:00Z,8,6.4,PM2_5,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
40308, 2026-03-06T13:00:00Z,8,18.6,NO2,AKOB,Praha 8-Kobylisy,Praha 8,50.122188568115234,14.467577934265137
40309, 2026-03-06T13:00:00Z,8,70.8,O3,AKOB,Praha 8-Kobylisy,Praha 8,50.122188568115234,14.467577934265137
40310, 2026-03-06T13:00:00Z,8,22.2,NOx,AKOB,Praha 8-Kobylisy,Praha 8,50.122188568115234,14.467577934265137
40311, 2026-03-06T13:00:00Z,8,39.3,PM10,AKOB,Praha 8-Kobylisy,Praha 8,50.122188568115234,14.467577934265137
40316, 2026-03-06T13:00:00Z,8,35.4,PM10,AVRS,Praha 10-Vršovice,Praha 10,50.0664291381836,14.446151733398438
40331, 2026-03-06T13:00:00Z,8,18.4,PM10,UCHM,Chomutov,Chomutov,50.467529296875,13.41269588470459
40338, 2026-03-06T13:00:00Z,8,5.3,SO2,UTUS,Tušimice,Chomutov,50.3765869140625,13.327622413635254
40340, 2026-03-06T13:00:00Z,8,9.6,NO2,UTUS,Tušimice,Chomutov,50.3765869140625,13.327622413635254
40341, 2026-03-06T13:00:00Z,8,81.8,O3,UTUS,Tušimice,Chomutov,50.3765869140625,13.327622413635254
40342, 2026-03-06T13:00:00Z,8,11.9,NOx,UTUS,Tušimice,Chomutov,50.3765869140625,13.327622413635254
40343, 2026-03-06T13:00:00Z,8,25.7,PM10,UTUS,Tušimice,Chomutov,50.3765869140625,13.327622413635254
40352, 2026-03-06T13:00:00Z,8,15.7,NO2,UMOM,Most,Most,50.5103645324707,13.645272254943848
40354, 2026-03-06T13:00:00Z,8,88.2,O3,UMOM,Most,Most,50.5103645324707,13.645272254943848
40355, 2026-03-06T13:00:00Z,8,18.2,NOx,UMOM,Most,Most,50.5103645324707,13.645272254943848
40356, 2026-03-06T13:00:00Z,8,41.6,PM10,UMOM,Most,Most,50.5103645324707,13.645272254943848
40369, 2026-03-06T13:00:00Z,8,29.0,PM2_5,UMOM,Most,Most,50.5103645324707,13.645272254943848
40406, 2026-03-06T13:00:00Z,8,5.1,SO2,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
40408, 2026-03-06T13:00:00Z,8,13.8,NO2,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
40410, 2026-03-06T13:00:00Z,8,85.8,O3,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
